Ativo;Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
DI1F23;29/05/2020;4,280;4,310;4,220;4,220;9.796.224.111,60;109.105
DI1F23;28/05/2020;4,290;4,360;4,230;4,260;12.061.044.563,75;134.465
DI1F23;27/05/2020;4,290;4,420;4,290;4,290;11.878.119.089,35;132.650
DI1F23;26/05/2020;4,220;4,350;4,210;4,310;16.922.709.515,65;188.650
DI1F23;25/05/2020;4,320;4,430;4,300;4,310;12.870.371.310,75;143.800
DI1F23;22/05/2020;4,520;4,670;4,490;4,610;15.539.915.558,80;174.510
DI1F23;21/05/2020;4,590;4,640;4,480;4,510;21.393.527.622,05;240.260
DI1F23;20/05/2020;4,480;4,630;4,480;4,570;11.130.846.166,55;125.165
DI1F23;19/05/2020;4,550;4,620;4,520;4,540;15.289.164.732,35;171.840
DI1F23;18/05/2020;4,670;4,670;4,560;4,580;7.722.203.062,75;86.890
DI1F23;15/05/2020;4,880;4,880;4,660;4,720;13.918.283.965,95;157.230
DI1F23;14/05/2020;5,000;5,140;4,840;4,840;25.688.678.922,40;292.135
DI1F23;13/05/2020;4,630;4,940;4,520;4,940;17.956.142.034,30;203.110
DI1F23;12/05/2020;4,410;4,880;4,370;4,730;29.868.217.946,95;336.120
DI1F23;11/05/2020;4,470;4,540;4,400;4,460;8.353.180.152,05;93.720
DI1F23;08/05/2020;4,520;4,590;4,420;4,420;21.477.893.253,50;241.150
DI1F23;07/05/2020;4,490;4,700;4,430;4,570;27.747.200.745,20;312.335
DI1F23;06/05/2020;4,760;4,850;4,660;4,660;17.001.028.084,55;192.395
DI1F23;05/05/2020;4,850;4,880;4,690;4,720;13.324.847.429,60;150.760
DI1F23;04/05/2020;4,910;5,050;4,880;4,910;8.654.183.619,30;98.440
DI1F23;30/04/2020;4,870;4,960;4,750;4,790;11.514.873.674,00;130.690
DI1F23;29/04/2020;4,850;5,170;4,750;4,790;16.433.175.481,68;186.586
DI1F23;28/04/2020;5,290;5,390;4,830;4,850;26.410.135.109,75;301.380
DI1F23;27/04/2020;5,070;5,700;4,900;5,700;22.752.632.836,35;261.990
DI1F23;24/04/2020;4,890;5,990;4,720;5,580;43.155.438.420,55;495.655
DI1F23;23/04/2020;4,290;4,540;4,240;4,530;21.297.420.702,00;239.105
DI1F23;22/04/2020;4,320;4,320;4,140;4,210;17.580.410.430,85;196.360
DI1F23;20/04/2020;4,660;4,710;4,230;4,370;18.807.673.671,45;211.375
DI1F23;17/04/2020;4,580;4,750;4,540;4,600;13.093.435.913,15;148.065
DI1F23;16/04/2020;4,680;4,720;4,600;4,610;16.455.896.370,57;186.156
DI1F23;15/04/2020;4,790;4,880;4,720;4,720;15.210.601.767,80;172.650
DI1F23;14/04/2020;4,880;4,900;4,770;4,770;18.836.023.668,44;213.887
DI1F23;13/04/2020;5,060;5,060;4,890;4,890;12.214.600.337,70;139.260
DI1F23;09/04/2020;5,200;5,230;4,980;5,020;14.378.592.876,95;164.460
