Ativo;Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
DI1F29;29/05/2020;7,570;7,570;7,460;7,460;401.854.838,10;7.460
DI1F29;28/05/2020;7,540;7,600;7,420;7,550;1.007.715.839,90;18.740
DI1F29;27/05/2020;7,510;7,690;7,500;7,500;501.716.349,25;9.390
DI1F29;26/05/2020;7,490;7,610;7,450;7,550;770.157.808,35;14.335
DI1F29;25/05/2020;7,790;7,790;7,560;7,590;677.667.317,05;12.755
DI1F29;22/05/2020;8,000;8,190;7,900;7,980;867.042.708,40;16.755
DI1F29;21/05/2020;8,250;8,290;8,020;8,020;670.127.881,25;13.095
DI1F29;20/05/2020;8,250;8,300;8,220;8,220;843.444.728,75;16.655
DI1F29;19/05/2020;8,300;8,310;8,190;8,260;1.322.299.023,35;26.140
DI1F29;18/05/2020;8,400;8,420;8,250;8,310;365.247.175,95;7.255
DI1F29;15/05/2020;8,540;8,590;8,400;8,470;586.919.296,70;11.815
DI1F29;14/05/2020;8,750;8,830;8,480;8,480;1.065.021.121,15;21.855
DI1F29;13/05/2020;8,360;8,640;8,330;8,600;1.075.630.025,30;21.795
DI1F29;12/05/2020;8,180;8,660;8,020;8,470;1.157.310.017,35;23.035
DI1F29;11/05/2020;8,130;8,290;8,090;8,180;439.416.209,35;8.645
DI1F29;08/05/2020;8,210;8,220;8,080;8,080;484.634.026,70;9.510
DI1F29;07/05/2020;7,980;8,250;7,890;8,200;960.157.061,35;18.850
DI1F29;06/05/2020;8,160;8,250;7,950;7,950;382.291.190,85;7.495
DI1F29;05/05/2020;7,900;8,180;7,790;8,060;1.321.364.843,35;25.795
DI1F29;04/05/2020;8,180;8,220;8,010;8,010;394.910.093,35;7.765
DI1F29;30/04/2020;7,940;8,150;7,940;7,970;795.736.355,75;15.515
DI1F29;29/04/2020;8,050;8,710;7,950;7,950;817.302.332,05;16.085
DI1F29;28/04/2020;8,730;8,730;8,070;8,170;1.430.627.452,15;28.790
DI1F29;27/04/2020;8,790;9,030;8,410;8,930;1.588.883.541,45;32.960
DI1F29;24/04/2020;7,870;9,040;7,830;8,650;1.067.995.538,90;21.590
DI1F29;23/04/2020;7,480;7,680;7,440;7,680;1.323.223.690,10;24.830
DI1F29;22/04/2020;7,180;7,360;7,180;7,360;849.992.215,10;15.650
DI1F29;20/04/2020;7,430;7,490;7,230;7,350;1.129.123.402,45;21.015
DI1F29;17/04/2020;7,390;7,550;7,350;7,370;1.034.649.527,45;19.305
DI1F29;16/04/2020;7,660;7,660;7,420;7,430;1.121.014.763,30;20.975
DI1F29;15/04/2020;7,800;7,850;7,590;7,640;1.019.073.578,30;19.385
DI1F29;14/04/2020;7,880;7,900;7,760;7,760;1.080.428.885,66;20.781
DI1F29;13/04/2020;7,930;8,050;7,880;7,910;370.819.225,20;7.210
DI1F29;09/04/2020;8,020;8,070;7,900;7,920;820.057.702,55;15.965
DI1F29;08/04/2020;8,170;8,390;8,060;8,060;1.064.318.137,40;21.070
DI1F29;07/04/2020;8,080;8,230;8,030;8,180;561.158.704,90;11.075
DI1F29;06/04/2020;8,300;8,420;8,080;8,280;660.460.714,50;13.085
DI1F29;03/04/2020;8,150;8,510;8,100;8,460;757.223.662,70;15.250
DI1F29;02/04/2020;7,990;8,190;7,880;8,190;567.127.315,55;11.180
DI1F29;01/04/2020;8,150;8,290;8,030;8,100;1.059.808.493,55;21.045
DI1F29;31/03/2020;8,070;8,120;7,840;7,940;920.398.897,75;17.900
DI1F29;30/03/2020;8,140;8,150;7,900;8,000;654.068.222,40;12.800
DI1F29;27/03/2020;8,280;8,390;7,880;8,050;661.175.229,90;13.107
DI1F29;26/03/2020;8,740;8,960;8,070;8,150;1.461.939.004,00;29.270
DI1F29;25/03/2020;9,550;9,630;8,590;8,720;1.191.966.564,60;25.450
DI1F29;24/03/2020;9,380;9,700;9,380;9,540;1.070.026.763,30;23.710
DI1F29;23/03/2020;9,510;10,060;9,250;9,840;879.859.109,05;19.960
DI1F29;20/03/2020;8,850;9,350;8,570;9,330;917.614.185,60;19.555
DI1F29;19/03/2020;9,120;9,950;8,840;9,050;1.375.580.832,25;29.940
DI1F29;18/03/2020;8,090;9,140;8,090;9,120;1.344.077.854,05;27.990
DI1F29;17/03/2020;8,290;8,310;7,740;7,890;1.860.722.426,10;36.605
DI1F29;16/03/2020;8,150;9,160;8,150;8,250;2.046.873.171,35;42.300
DI1F29;13/03/2020;8,340;8,520;7,860;8,300;1.405.413.657,75;28.285
DI1F29;12/03/2020;9,270;9,710;9,150;9,280;541.475.818,90;11.845
DI1F29;11/03/2020;7,280;8,240;7,280;8,020;2.396.782.006,90;46.005
DI1F29;10/03/2020;7,280;7,460;7,190;7,310;2.073.308.440,80;38.710
DI1F29;09/03/2020;7,560;7,620;7,130;7,400;2.724.674.937,95;50.745
DI1F29;06/03/2020;7,020;7,200;6,900;6,920;1.897.732.099,40;34.630
DI1F29;05/03/2020;6,780;6,970;6,750;6,930;1.903.970.854,55;34.160
DI1F29;04/03/2020;6,730;6,750;6,670;6,740;1.353.140.626,15;23.965
DI1F29;03/03/2020;6,770;6,820;6,670;6,770;1.292.465.334,50;22.940
DI1F29;02/03/2020;6,870;6,890;6,740;6,770;1.488.010.640,15;26.600
DI1F29;28/02/2020;6,990;7,040;6,900;6,950;2.640.104.771,00;47.815
DI1F29;27/02/2020;6,980;7,080;6,860;6,900;1.672.242.313,95;30.300
DI1F29;26/02/2020;6,800;6,960;6,800;6,940;567.807.761,85;10.230
DI1F29;21/02/2020;6,740;6,790;6,720;6,780;932.226.777,00;16.595
DI1F29;20/02/2020;6,680;6,790;6,640;6,710;1.747.345.313,35;31.030
DI1F29;19/02/2020;6,680;6,750;6,650;6,660;1.578.227.385,41;27.984
DI1F29;18/02/2020;6,620;6,670;6,620;6,660;915.829.030,45;16.175
DI1F29;17/02/2020;6,610;6,640;6,560;6,640;418.884.899,45;7.375
DI1F29;14/02/2020;6,660;6,680;6,590;6,590;1.066.306.787,05;18.800
DI1F29;13/02/2020;6,660;6,720;6,660;6,680;1.398.017.254,35;24.800
DI1F29;12/02/2020;6,660;6,680;6,640;6,640;1.292.730.208,80;22.865
DI1F29;11/02/2020;6,690;6,700;6,640;6,660;1.876.817.821,40;33.220
DI1F29;10/02/2020;6,800;6,800;6,710;6,730;1.624.651.192,70;28.945
DI1F29;07/02/2020;6,720;6,820;6,690;6,820;959.776.510,15;17.150
DI1F29;06/02/2020;6,650;6,730;6,610;6,730;1.876.227.592,80;33.255
DI1F29;05/02/2020;6,760;6,760;6,650;6,650;2.064.222.835,65;36.695
DI1F29;04/02/2020;6,800;6,810;6,730;6,760;3.107.743.688,00;55.555
DI1F29;03/02/2020;6,860;6,870;6,800;6,810;1.320.350.540,25;23.720
DI1F29;31/01/2020;6,900;6,910;6,850;6,890;1.699.859.679,60;30.695
DI1F29;30/01/2020;6,910;6,950;6,850;6,880;2.115.009.696,45;38.275
DI1F29;29/01/2020;6,870;6,900;6,830;6,890;3.084.175.650,70;55.630
DI1F29;28/01/2020;6,970;6,980;6,900;6,900;1.918.444.161,05;34.855
DI1F29;27/01/2020;6,990;7,010;6,950;6,950;798.721.857,65;14.540
DI1F29;24/01/2020;6,980;7,000;6,930;6,970;857.798.123,75;15.615
DI1F29;23/01/2020;7,000;7,050;6,950;6,980;1.145.154.119,90;20.895
DI1F29;22/01/2020;7,030;7,040;6,980;6,990;767.957.740,55;14.040
DI1F29;21/01/2020;7,080;7,090;7,000;7,030;921.022.771,20;16.890
DI1F29;20/01/2020;7,000;7,060;6,980;7,050;1.217.534.998,85;22.335
DI1F29;17/01/2020;7,060;7,100;7,020;7,020;1.072.673.196,35;19.730
DI1F29;16/01/2020;6,980;7,110;6,970;7,100;2.071.819.772,45;38.040
DI1F29;15/01/2020;6,970;7,000;6,940;6,990;1.674.803.137,70;30.590
DI1F29;14/01/2020;7,080;7,110;6,980;7,020;1.472.747.825,95;27.010
DI1F29;13/01/2020;6,980;7,090;6,970;7,070;1.157.712.024,05;21.280
DI1F29;10/01/2020;7,000;7,000;6,920;6,980;708.746.234,60;12.940
DI1F29;09/01/2020;7,000;7,060;6,920;6,960;3.597.585.901,15;65.795
DI1F29;08/01/2020;6,990;7,030;6,940;6,990;1.004.528.239,90;18.370
DI1F29;07/01/2020;7,020;7,100;6,990;7,020;790.454.307,75;14.520
DI1F29;06/01/2020;7,000;7,040;6,980;7,010;352.405.778,80;6.460
DI1F29;03/01/2020;6,990;6,990;6,930;6,960;1.196.142.040,00;21.825
DI1F29;02/01/2020;6,930;6,990;6,910;6,920;1.220.003.347,25;22.240
DI1F29;30/12/2019;7,030;7,040;6,950;6,960;733.011.020,65;13.430
DI1F29;27/12/2019;7,040;7,090;7,040;7,060;1.286.648.040,75;23.750
DI1F29;26/12/2019;7,140;7,140;7,020;7,060;1.179.636.049,45;21.760
DI1F29;23/12/2019;7,190;7,190;7,120;7,140;763.206.721,05;14.200
DI1F29;20/12/2019;7,300;7,350;7,220;7,220;1.067.596.628,75;20.095
DI1F29;19/12/2019;7,140;7,280;7,130;7,280;1.445.448.067,55;27.055
DI1F29;18/12/2019;7,110;7,150;7,040;7,140;789.319.543,00;14.620
DI1F29;17/12/2019;7,070;7,150;7,040;7,140;601.165.586,85;11.165
DI1F29;16/12/2019;6,940;7,040;6,920;7,040;444.358.443,55;8.175
DI1F29;13/12/2019;6,940;6,950;6,890;6,950;389.841.935,75;7.120
DI1F29;12/12/2019;6,880;6,940;6,860;6,920;618.987.113,90;11.295
DI1F29;11/12/2019;6,960;6,960;6,900;6,930;381.165.580,75;6.970
DI1F29;10/12/2019;6,970;7,000;6,940;6,950;447.909.699,55;8.225
DI1F29;09/12/2019;6,940;6,940;6,910;6,940;402.921.770,32;7.378
DI1F29;06/12/2019;7,000;7,010;6,940;6,940;343.244.760,20;6.300
DI1F29;05/12/2019;6,990;7,030;6,970;7,000;506.437.304,75;9.325
DI1F29;04/12/2019;7,010;7,010;6,960;6,990;333.859.199,70;6.145
DI1F29;03/12/2019;7,130;7,130;7,020;7,040;407.015.862,70;7.535
