Ativo;Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
DI1F21;29/05/2020;2,345;2,345;2,290;2,290;25.734.297.844,70;260.860
DI1F21;28/05/2020;2,395;2,415;2,350;2,360;18.460.847.316,70;187.215
DI1F21;27/05/2020;2,395;2,430;2,380;2,390;7.989.022.297,55;81.040
DI1F21;26/05/2020;2,350;2,405;2,350;2,385;20.322.692.969,80;206.150
DI1F21;25/05/2020;2,435;2,435;2,375;2,375;19.630.104.153,50;199.165
DI1F21;22/05/2020;2,475;2,535;2,455;2,495;32.648.600.868,55;331.435
DI1F21;21/05/2020;2,550;2,550;2,485;2,485;37.258.323.259,90;378.355
DI1F21;20/05/2020;2,535;2,550;2,525;2,545;15.294.617.668,50;155.355
DI1F21;19/05/2020;2,550;2,550;2,515;2,525;11.703.361.774,50;118.885
DI1F21;18/05/2020;2,605;2,605;2,520;2,535;9.831.590.322,60;99.880
DI1F21;15/05/2020;2,720;2,730;2,545;2,560;23.898.014.318,20;242.870
DI1F21;14/05/2020;2,690;2,740;2,635;2,640;20.593.123.279,55;209.440
DI1F21;13/05/2020;2,540;2,700;2,530;2,655;22.969.116.597,05;233.550
DI1F21;12/05/2020;2,465;2,660;2,460;2,610;59.574.296.761,60;605.490
DI1F21;11/05/2020;2,485;2,500;2,435;2,475;21.592.957.370,05;219.375
DI1F21;08/05/2020;2,510;2,545;2,475;2,475;34.835.625.853,55;354.035
DI1F21;07/05/2020;2,480;2,575;2,465;2,545;56.004.985.753,50;569.320
DI1F21;06/05/2020;2,710;2,770;2,695;2,745;27.240.747.968,95;277.340
DI1F21;05/05/2020;2,750;2,760;2,695;2,710;33.576.111.721,85;341.845
DI1F21;04/05/2020;2,775;2,825;2,745;2,770;13.779.855.659,25;140.365
DI1F21;30/04/2020;2,830;2,880;2,775;2,775;11.394.146.049,95;116.100
DI1F21;29/04/2020;2,830;2,970;2,810;2,835;32.849.162.286,35;334.830
DI1F21;28/04/2020;2,970;3,010;2,830;2,830;51.575.185.775,10;525.860
DI1F21;27/04/2020;3,000;3,275;2,845;3,200;48.676.091.928,80;496.945
DI1F21;24/04/2020;2,820;3,490;2,765;3,120;115.336.901.397,70;1.178.255
DI1F21;23/04/2020;2,655;2,780;2,620;2,720;33.925.981.738,10;345.600
DI1F21;22/04/2020;2,780;2,785;2,575;2,650;65.262.728.548,90;664.610
DI1F21;20/04/2020;3,085;3,085;2,800;2,840;81.629.296.313,90;832.750
DI1F21;17/04/2020;3,020;3,130;2,995;3,040;17.939.665.616,41;183.274
DI1F21;16/04/2020;3,060;3,075;2,985;3,060;20.579.465.333,55;210.240
DI1F21;15/04/2020;3,070;3,105;3,035;3,045;27.423.669.402,25;280.220
DI1F21;14/04/2020;3,070;3,080;3,020;3,045;37.112.875.410,50;379.205
DI1F21;13/04/2020;3,165;3,165;3,090;3,100;16.092.263.661,15;164.535
DI1F21;09/04/2020;3,170;3,210;3,120;3,150;33.092.452.330,15;338.485
DI1F21;08/04/2020;3,170;3,255;3,150;3,205;50.064.092.120,25;512.340
DI1F21;07/04/2020;3,250;3,270;3,200;3,210;30.689.935.981,05;314.150
DI1F21;06/04/2020;3,150;3,350;3,150;3,275;19.417.155.614,15;198.790
DI1F21;03/04/2020;3,185;3,190;3,110;3,175;27.487.129.253,15;281.295
DI1F21;02/04/2020;3,225;3,245;3,170;3,205;30.581.173.832,75;313.120
DI1F21;01/04/2020;3,300;3,325;3,150;3,250;30.946.302.464,85;316.955
DI1F21;31/03/2020;3,380;3,425;3,185;3,235;39.308.775.018,05;402.795
DI1F21;30/03/2020;3,485;3,485;3,385;3,395;22.188.310.445,10;227.610
