Ativo;Data;Abertura;Maximo;Minimo;Fechamento;Volume;Quantidade
DI1F27;29/05/2020;7,000;7,000;6,900;6,900;1.784.361.344,60;27.730
DI1F27;28/05/2020;6,960;7,020;6,870;6,970;3.130.065.609,25;48.685
DI1F27;27/05/2020;6,950;7,110;6,920;6,930;2.959.667.108,45;46.280
DI1F27;26/05/2020;6,950;7,040;6,890;6,980;3.825.336.032,85;59.555
DI1F27;25/05/2020;7,100;7,180;7,060;7,060;1.705.723.744,10;26.820
DI1F27;22/05/2020;7,440;7,600;7,330;7,430;2.476.026.392,80;39.715
DI1F27;21/05/2020;7,610;7,670;7,420;7,430;3.604.770.833,15;58.095
DI1F27;20/05/2020;7,550;7,680;7,550;7,610;2.138.094.596,70;34.755
DI1F27;19/05/2020;7,650;7,670;7,550;7,610;2.953.229.211,60;47.995
DI1F27;18/05/2020;7,710;7,760;7,620;7,670;1.379.612.626,50;22.500
DI1F27;15/05/2020;7,930;7,950;7,750;7,820;1.859.440.816,40;30.620
DI1F27;14/05/2020;8,020;8,200;7,870;7,880;3.086.037.092,05;51.570
DI1F27;13/05/2020;7,700;7,970;7,620;7,960;2.198.964.768,75;36.320
DI1F27;12/05/2020;7,400;7,990;7,360;7,790;4.908.091.137,50;80.070
DI1F27;11/05/2020;7,540;7,670;7,440;7,490;1.341.433.812,30;21.700
DI1F27;08/05/2020;7,560;7,620;7,440;7,440;1.469.656.162,75;23.755
DI1F27;07/05/2020;7,300;7,640;7,270;7,570;2.855.307.469,20;46.180
DI1F27;06/05/2020;7,520;7,680;7,350;7,350;1.230.557.256,45;19.950
DI1F27;05/05/2020;7,400;7,590;7,270;7,450;2.535.214.717,20;40.910
DI1F27;04/05/2020;7,640;7,690;7,500;7,500;2.629.413.928,05;42.810
DI1F27;30/04/2020;7,390;7,580;7,390;7,400;2.150.786.952,50;34.790
DI1F27;29/04/2020;7,540;8,080;7,360;7,360;4.125.492.169,25;67.040
